Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Rotate Left 90 degrees, Rotate Right 90 degrees, Rotate Left 90 degrees, Shoot
Move Forward, Move Forward, Get Battle Info, Get Battle Info
Move Forward, Move Forward, Rotate Left 45 degrees, Rotate Left 45 degrees
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Rotate Left 90 degrees, Rotate Left 90 degrees, Rotate Left 45 degrees, Get Battle Info
Move Forward, Move Forward, Get Battle Info, Shoot
Move Forward, Move Forward, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Rotate Left 45 degrees
Move Forward, Move Forward, Get Battle Info, Get Battle Info
Move Forward, Move Forward, Get Battle Info, Rotate Right 90 degrees
Rotate Left 45 degrees, Rotate Left 45 degrees, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Shoot, Shoot
Move Forward, Move Forward, Get Battle Info, Get Battle Info
Rotate Left 90 degrees, Rotate Left 90 degrees, Rotate Right 45 degrees, Rotate Left 45 degrees
Move Forward, Move Forward, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Rotate Left 45 degrees, Rotate Right 45 degrees
Rotate Left 45 degrees, Rotate Left 45 degrees, Get Battle Info, Get Battle Info
Move Forward, Move Forward, Rotate Left 90 degrees, Rotate Left 90 degrees
Get Battle Info (killed), Move Forward, Get Battle Info (killed), Get Battle Info
Tie, both players have zero tanks
