Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Shoot, Shoot, Shoot, Shoot
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Shoot, Shoot, Shoot, Shoot
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Shoot, Shoot, Shoot, Shoot
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Shoot, Shoot
Shoot, Shoot, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Shoot, Shoot
Shoot, Shoot, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Shoot, Shoot
Shoot, Shoot, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Shoot, Shoot
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Shoot, Shoot, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Shoot, Shoot
None, None, Get Battle Info, Get Battle Info
Shoot, Shoot, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Shoot, Shoot
None, None, Get Battle Info, Get Battle Info
Shoot, Shoot, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Shoot, Shoot
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Shoot, Shoot, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, None, None
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, None, None
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, None, None
None, None, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Get Battle Info, Get Battle Info
None, None, None, None
None, None, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Tie, both players have zero shells for 40 steps
